2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,countryCode,seriesCode,sdg,seriesName,group,observations,budget,goal,population,obsInter,gov_cc,gov_rl,instrumental
0.3530037277231877,0.3880305520735914,0.43141272249096624,0.4694005860359974,0.4907808965686775,0.4917660958087129,0.4771923676064029,0.4577303798089661,0.4448264134867212,0.4460263089753988,0.4594999999999999,0.4943,0.5268999999999999,0.5518000000000001,0.5952,0.5957,0.6099,0.6108,0.5928,0.5789,0.5715,AGO,sdg1_320pov,1,Poverty headcount ratio at $3.20/day (%),Africa,11,14788763244.899199,1.0,32866268.0,11,0.12442833364640676,0.27641575297266585,1
0.020049768929968008,0.02079630287948809,0.022289370778528262,0.022964806256665485,0.017490223960184858,0.020725204408105224,0.015854959118378954,0.016494845360824743,0.023213650906505512,0.020298613579808042,0.022360469249911127,0.023533594027728404,0.019623178101670816,0.02893707785282617,0.03156772129399218,0.03490934944898685,0.03320298613579808,0.03217205830074653,0.02711179220674092,0.026124919317082683,0.028278572721582133,AGO,sdg2_crlyld,2,Cereal yield (tonnes per hectare of harvested land),Africa,18,14788763244.899199,0.24884464984002844,32866268.0,18,0.12442833364640676,0.27641575297266585,0
0.9640000000000001,0.9620000000000001,0.9590000000000001,0.9570000000000001,0.955,0.9520000000000001,0.95,0.9470000000000001,0.9440000000000001,0.941,0.938,0.935,0.932,0.929,0.925,0.9209999999999999,0.9179999999999999,0.9144407161222728,0.9111460094421724,0.9081429351223481,0.9054882493141968,AGO,sdg2_obesity,2,"Prevalence of obesity, BMI ≥ 30 (% of adult population)",Africa,17,14788763244.899199,0.972,32866268.0,17,0.12442833364640676,0.27641575297266585,0
0.3212765957446808,0.3269503546099289,0.3312056737588651,0.33758865248226944,0.3418439716312056,0.34397163120567364,0.3460992907801418,0.34397163120567364,0.3446808510638297,0.3418439716312056,0.3418439716312056,0.3397163120567375,0.3390070921985815,0.34042553191489355,0.3382978723404254,0.3368794326241133,0.3359482962612961,0.3348598051232651,0.3345150999907303,0.3354235735131004,0.3378831272304689,AGO,sdg2_snmi,2,Sustainable Nitrogen Management Index (worst 0-1.41 best),Africa,16,14788763244.899199,1.0,32866268.0,16,0.12442833364640676,0.27641575297266585,1
0.9325,0.927,0.9235,0.9305,0.935,0.9365,0.9365,0.9329999999999999,0.935,0.9445,0.9425,0.9405,0.9365,0.94,0.9175,0.9305,0.9365,0.9345,0.9345138853629402,0.9353011736305752,0.9345164121949502,AGO,sdg2_trophic,2,Human Trophic Level (best 2-3 worst),Africa,18,14788763244.899199,0.98,32866268.0,18,0.12442833364640676,0.27641575297266585,0
0.28500000000000003,0.31099999999999994,0.34700000000000003,0.387,0.4219999999999999,0.452,0.48200000000000004,0.514,0.546,0.575,0.5960000000000001,0.618,0.649,0.688,0.7190000000000001,0.736,0.7440000000000001,0.75,0.7643929368102831,0.7943023368070155,0.8342707987062663,AGO,sdg2_undernsh,2,Prevalence of undernourishment (%),Africa,18,14788763244.899199,1.0,32866268.0,18,0.12442833364640676,0.27641575297266585,1
0.9139700000000001,0.9189,0.92337,0.92727,0.93046,0.93281,0.93452,0.93594,0.93719,0.93837,0.93953,0.94073,0.94194,0.94314,0.94434,0.94553,0.9466700000000001,0.94773,0.9487962392366932,0.9500928123801714,0.9518209652765874,AGO,sdg2_wasting,2,Prevalence of wasting in children under 5 years of age (%),Africa,18,14788763244.899199,1.0,32866268.0,18,0.12442833364640676,0.27641575297266585,1
0.4434054373632787,0.447,0.4505967149975341,0.4538395624650633,0.4570907027103317,0.4603470370890328,0.4636054670099199,0.467,0.4701164164495069,0.4733639227826138,0.4766034982085969,0.4798332278986734,0.4830511968427516,0.4862554898194738,0.4894441913663492,0.4926153857498754,0.496,0.4924065967338224,0.4923360418680188,0.4958326767650805,0.49589960424313395,AGO,sdg3_births,3,Births attended by skilled health personnel (%),Africa,3,14788763244.899199,1.0,32866268.0,16,0.12442833364640676,0.27641575297266585,1
0.803301,0.805234,0.807168,0.809489,0.811809,0.81413,0.81645,0.818771,0.8215370000000001,0.8243030000000001,0.8270679999999999,0.829834,0.8326,0.835975,0.83935,0.842724,0.8460989999999999,0.849474,0.8525962452665671,0.8554996037513394,0.85808841266406,AGO,sdg3_fertility,3,"Adolescent fertility rate (births per 1,000 adolescent females aged 15 to 19)",Africa,18,14788763244.899199,0.9975,32866268.0,18,0.12442833364640676,0.27641575297266585,0
0.9896,0.9892,0.9886,0.9882,0.9879,0.9876,0.9877,0.9877,0.9877,0.9877,0.9879,0.9879,0.988,0.9884,0.9891,0.9894,0.9895,0.9894,0.9899,0.9905995988846192,0.99129775368863,AGO,sdg3_hiv,3,"New HIV infections (per 1,000 uninfected population)",Africa,19,14788763244.899199,1.0,32866268.0,19,0.12442833364640676,0.27641575297266585,0
