2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,countryCode,seriesCode,sdg,seriesName,group,observations,theoMax,population,budget,goal,cc,rl,instrumental,budget_pc
0.3703935903952937,0.3799282250226349,0.4052500601719533,0.4418618811552244,0.4758709562972862,0.4925383628021098,0.4868257633267711,0.4672948774351676,0.4500135569181917,0.4478218511555204,0.4594999999999999,0.4943,0.5268999999999999,0.5518000000000001,0.5952,0.5957,0.6099,0.6108,0.5928,0.5789,0.5715,AGO,sdg1_320pov,1,Poverty headcount ratio at $3.20/day (%),Africa,11,1.0,23815543.76190476,14788763244.8992,1.0,0.24049363200271537,0.24152797220799815,1,620.9710512071214
0.020049768929968008,0.02079630287948809,0.022289370778528262,0.022964806256665485,0.017490223960184858,0.020725204408105224,0.015854959118378954,0.016494845360824743,0.023213650906505512,0.020298613579808042,0.022360469249911127,0.023533594027728404,0.019623178101670816,0.02893707785282617,0.03156772129399218,0.03490934944898685,0.03320298613579808,0.03217205830074653,0.03293997849744554,0.03251409094333009,0.032076200680686666,AGO,sdg2_crlyld,2,Cereal yield (tonnes per hectare of harvested land),Africa,18,,23815543.76190476,14788763244.8992,0.24884464984002844,0.24049363200271537,0.24152797220799815,0,620.9710512071214
0.964,0.962,0.959,0.957,0.955,0.952,0.95,0.947,0.944,0.941,0.938,0.935,0.932,0.929,0.925,0.921,0.918,0.9145566189355028,0.9119497203966228,0.9098584173571556,0.907992452757332,AGO,sdg2_obesity,2,"Prevalence of obesity, BMI ≥ 30 (% of adult population)",Africa,17,1.0,23815543.76190476,14788763244.8992,0.972,0.24049363200271537,0.24152797220799815,0,620.9710512071214
0.3212765957446808,0.3269503546099289,0.3312056737588651,0.33758865248226944,0.3418439716312056,0.34397163120567364,0.3460992907801418,0.34397163120567364,0.3446808510638297,0.3418439716312056,0.3418439716312056,0.3397163120567375,0.3390070921985815,0.34042553191489355,0.3382978723404254,0.3368794326241133,0.3353803032869597,0.3336942007515767,0.3325137739991356,0.33239207906494544,0.3337448631690165,AGO,sdg2_snmi,2,Sustainable Nitrogen Management Index (worst 0-1.41 best),Africa,16,,23815543.76190476,14788763244.8992,1.0,0.24049363200271537,0.24152797220799815,1,620.9710512071214
0.9325,0.927,0.9235,0.9305,0.935,0.9365,0.9365,0.933,0.935,0.9445,0.9425,0.9405,0.9365,0.94,0.9175,0.9305,0.9365,0.9345,0.9324690590146728,0.9297866887979414,0.9311468460513028,AGO,sdg2_trophic,2,Human Trophic Level (best 2-3 worst),Africa,18,1.0,23815543.76190476,14788763244.8992,0.98,0.24049363200271537,0.24152797220799815,0,620.9710512071214
0.28500000000000003,0.31099999999999994,0.34700000000000003,0.387,0.4219999999999999,0.452,0.482,0.514,0.546,0.575,0.5960000000000001,0.618,0.649,0.688,0.7190000000000001,0.736,0.7440000000000001,0.75,0.7600240555957722,0.7772070088532912,0.8025545946585967,AGO,sdg2_undernsh,2,Prevalence of undernourishment (%),Africa,18,1.0,23815543.76190476,14788763244.8992,1.0,0.24049363200271537,0.24152797220799815,1,620.9710512071214
0.91397,0.9189,0.92337,0.92727,0.9304600000000001,0.93281,0.93452,0.93594,0.93719,0.93837,0.93953,0.94073,0.94194,0.94314,0.94434,0.94553,0.94667,0.94773,0.9486522740033421,0.94924462190421,0.9493649370853492,AGO,sdg2_wasting,2,Prevalence of wasting in children under 5 years of age (%),Africa,18,1.0,23815543.76190476,14788763244.8992,1.0,0.24049363200271537,0.24152797220799815,1,620.9710512071214
0.4441983942478132,0.447,0.4505967149975341,0.4538395624650633,0.4570907027103317,0.4603470370890328,0.4636054670099199,0.467,0.4701164164495069,0.4733639227826138,0.4766034982085969,0.4798332278986734,0.4830511968427516,0.4862554898194738,0.4894441913663492,0.4926153857498754,0.496,0.4988988816021447,0.5020209398182374,0.5051249767137165,0.5082110612007256,AGO,sdg3_births,3,Births attended by skilled health personnel (%),Africa,3,1.0,23815543.76190476,14788763244.8992,1.0,0.24049363200271537,0.24152797220799815,1,620.9710512071214
0.803301,0.805234,0.807168,0.809489,0.811809,0.81413,0.81645,0.818771,0.8215370000000001,0.8243030000000001,0.8270679999999999,0.829834,0.8326,0.835975,0.83935,0.842724,0.8460989999999999,0.849474,0.8525972296645641,0.8556249547611946,0.8583707702989647,AGO,sdg3_fertility,3,"Adolescent fertility rate (births per 1,000 adolescent females aged 15 to 19)",Africa,18,1.0,23815543.76190476,14788763244.8992,0.9975,0.24049363200271537,0.24152797220799815,0,620.9710512071214
0.9896,0.9892,0.9886,0.9882,0.9879,0.9876,0.9877,0.9877,0.9877,0.9877,0.9879,0.9879,0.988,0.9884,0.9891,0.9894,0.9895,0.9894,0.9899,0.9900308694331552,0.9904253593128872,AGO,sdg3_hiv,3,"New HIV infections (per 1,000 uninfected population)",Africa,19,1.0,23815543.76190476,14788763244.8992,1.0,0.24049363200271537,0.24152797220799815,0,620.9710512071214
0.473,0.48200000000000004,0.494,0.505,0.515,0.527,0.5379999999999999,0.55,0.561,0.5730000000000001,0.584,0.595,0.604,0.61,0.617,0.622,0.626,0.6306452547143632,0.6355291753149338,0.6413765300736238,0.6485134833284032,AGO,sdg3_lifee,3,Life expectancy at birth (years),Africa,17,,23815543.76190476,14788763244.8992,0.83,0.24049363200271537,0.24152797220799815,0,620.9710512071214
0.9173,0.9234,0.931,0.9372,0.9426,0.9481,0.9527,0.9569,0.9605,0.9641,0.9674,0.97,0.9719,0.9731,0.9742,0.9749,0.9754,0.9759,0.9771688009660028,0.9792046869997918,0.9822538069259782,AGO,sdg3_matmort,3,"Maternal mortality rate (per 100,000 live births) ",Africa,18,1.0,23815543.76190476,14788763244.8992,0.99966,0.24049363200271537,0.24152797220799815,1,620.9710512071214
0.76,0.7655738316206566,0.7712644943925113,0.7770089238147477,0.7828138245145055,0.787,0.7946060411686062,0.8004517744350039,0.8060748029610636,0.8113268075046847,0.8190000000000001,0.8201693727826579,0.8237334765047706,0.8268736402220895,0.8297117201701383,0.831,0.835,0.8394863581964768,0.8453294512178667,0.8523370171971213,0.8600065670060302,AGO,sdg3_ncds,3,"Age-standardized death rate due to cardiovascular disease, cancer, diabetes, or chronic respiratory disease in adults aged 30–70 years (%)",Africa,5,1.0,23815543.76190476,14788763244.8992,0.907,0.24049363200271537,0.24152797220799815,0,620.9710512071214
0.9996372457160896,0.9617851319107592,0.9170139954874548,0.8652375818007415,0.8170407231753241,0.7896765861814681,0.7708339886343996,0.7133095656295159,0.6286010065517561,0.5976852561609549,0.6083982108637167,0.5589000000000001,0.4360000000000001,0.3937000000000001,0.3795,0.2955806481894457,0.2150790041884919,0.19505408732571014,0.15429346349097212,0.06639562439602957,0.0003051056259746332,AGO,sdg3_swb,3,"Subjective well-being (average ladder score, worst 0-10 best)",Africa,4,1.0,23815543.76190476,14788763244.8992,0.76,0.24049363200271537,0.24152797220799815,0,620.9710512071214
0.9703,0.9692,0.968,0.9666,0.965,0.9632,0.9623,0.9621,0.9618,0.9615,0.9616,0.9617,0.962,0.9624,0.963,0.9634,0.9638,0.9641,0.9645,0.964708826662016,0.9649492326676088,AGO,sdg3_tb,3,"Incidence of tuberculosis (per 100,000 population)",Africa,19,1.0,23815543.76190476,14788763244.8992,1.0,0.24049363200271537,0.24152797220799815,1,620.9710512071214
